name,category,duration,difficulty,description,tags
Pomodoro Technique,focus,25,beginner,"Work in focused 25-minute intervals followed by a 5-minute break. After 4 intervals, take a longer 15-30 minute break. Leverages time-boxing to maintain high concentration.","timer|breaks|focus|intervals|beginner"
Deep Work,focus,90,advanced,"Schedule long uninterrupted blocks of cognitively demanding work. Eliminate all distractions and enter a state of complete focus. Coined by Cal Newport.","focus|concentration|distraction-free|advanced"
Single-Tasking,focus,45,beginner,"Commit to working on one task at a time until completion. Multitasking reduces efficiency by up to 40%. Single-tasking restores full cognitive capacity.","focus|one-task|beginner|concentration"
Flow State Method,focus,60,advanced,"Deliberately engineer conditions that trigger complete immersion. Match task difficulty to your skill level and eliminate all interruptions.","flow|immersion|peak-performance|focus|advanced"
Getting Things Done,time_management,60,intermediate,"A 5-step system: Capture all tasks, Clarify what they mean, Organize into lists, Reflect weekly, Engage with the right task. Developed by David Allen.","gtd|organize|capture|planning|intermediate"
Time Blocking,time_management,30,intermediate,"Divide your day into dedicated time blocks each assigned to a specific task. Prevents multitasking and ensures every hour is intentionally allocated.","schedule|calendar|planning|blocks|intermediate"
2-Minute Rule,time_management,2,beginner,"If a task takes less than 2 minutes to complete, do it immediately. Prevents small tasks from accumulating into overwhelming backlogs.","quick|immediate|small-tasks|beginner|time_management"
Batch Processing,time_management,45,intermediate,"Group similar tasks together and complete them in a single dedicated session. Reduces context-switching overhead and improves efficiency.","batching|grouping|efficiency|intermediate"
Weekly Review,time_management,60,beginner,"Dedicate one hour each week to review completed tasks, update your lists, plan the upcoming week, and reflect on progress toward your goals.","review|weekly|reflection|planning|beginner"
Eisenhower Matrix,prioritization,20,beginner,"Categorize tasks into 4 quadrants: Urgent and Important, Not Urgent and Important, Urgent and Not Important, Not Urgent and Not Important.","matrix|urgent|important|quadrant|beginner"
Eat The Frog,prioritization,60,intermediate,"Tackle your most important and most dreaded task first thing in the morning. Eliminates procrastination and builds momentum for the rest of the day.","morning|priority|procrastination|intermediate"
Pareto Principle,prioritization,30,intermediate,"Identify the 20% of tasks that produce 80% of your results. Focus energy on high-impact activities and ruthlessly deprioritize the rest.","pareto|high-impact|prioritization|intermediate"
Ivy Lee Method,prioritization,15,beginner,"Each evening write down the 6 most important tasks for the next day. Rank them in order of priority and work through them sequentially.","ivy-lee|evening|priority|simple|beginner"
MoSCoW Method,prioritization,20,beginner,"Classify tasks as Must Have, Should Have, Could Have, or Won't Have. Ensures critical work is always completed first.","moscow|must|should|prioritization|beginner"
Ultradian Rhythm Method,energy_management,90,intermediate,"Work with your body's natural 90-minute energy cycles. Work intensely for 90 minutes then rest for 20 minutes.","energy|rhythm|rest|cycles|intermediate"
Energy Audit,energy_management,30,beginner,"Track your energy levels throughout the day for one week. Identify your peak energy windows and schedule high-priority tasks accordingly.","energy|audit|tracking|peak-hours|beginner"
Strategic Rest,energy_management,20,beginner,"Schedule deliberate rest periods throughout your workday. Includes micro-breaks, short breaks, and naps. Rest restores cognitive capacity.","rest|breaks|nap|recovery|beginner"
Mind Mapping,planning,30,beginner,"Create a visual diagram starting with a central idea branching into subtopics. Engages both logical and creative thinking for brainstorming and planning.","mind-map|visual|brainstorm|planning|beginner"
Kanban Board,planning,15,beginner,"Visualize your workflow using three columns: To Do, In Progress, Done. Limit work-in-progress to avoid overloading yourself.","kanban|board|visual|workflow|planning|beginner"
SMART Goals,planning,30,intermediate,"Define goals that are Specific, Measurable, Achievable, Relevant, and Time-bound. Transforms vague intentions into clear actionable targets.","smart|goals|framework|planning|intermediate"
